TITLE,DATE,RATING,REVIEW
the best hoytel ever highly recommand,Date of stay: October 2022,50,"Make sure to go to Singapore, please must go The Fullerton Hotel! I strongly recommend it. I stayed here for two days to celebrate my mom's birthday. I was moved by the special experience and fantastic service. Especially Kate Joe is a very good hotelier! Thank you very much. She said it's the best hotel she's ever been to I'm so happy. It's an unforgettable trip."
Excellent service and staff saved me from misunderstanding this famous hotel (bez of my own stupid mistake),Date of stay: August 2022,50,"Simply fall in love immediately after entering this famous Fullerton Building at the center of the city! Every corner is full of history!!!  The staff are very nice and helpful! They first surprise us by arranging special decoration inside the room (I only mentioned to the hotel restaurant that my afternoon tea is for celebrating our anniversary but I didn’t tell the room reservation!) with two lovely bears holding the balloons (and we can take them HOME!!!!) There is complimentary update and the room is clean, capacious and comfy!  Thanks Kate, front desk staff, for helping me assisting me to finish an urgent document at work by printing the document hard copy for me and guide me for postage back to Hong Kong ! Excellent service.  I MUST thanks Albert in the Courtyard at the lobby of Fullerton. He saved me from misunderstanding the hotel!!!! I written to the restaurant 2 mths prior arrival to book their famous afternoon tea for anniversary celebration and I really had extremely high expectation bez I am fan of afternoon tea!!! I was so frustrated and furious when I start eating the tea as the taste was sooooooo horrible and unacceptable until I cannot tolerate … my hubby saw that we are having a different set from other people…. We were given a vegan set!!!!! Albert came to assist us and letting us know that according to their record, we have requested that ! We were sooooo puzzled and shocked!!! He really handled this very nicely and gave us a complete new afternoon tea set and new coffee/ tea to relieved our emotion ! Later, we searched back the email that at the very very beginning I told the reservation team that I am interested in their plant- based menu (which I don’t realised it is a completely vegan set when I looked at the menu two mths ago) ! I really highly appreciate Albert professional handling of guests and customers that he didn’t make me feel bad even eventfully I found out it is my mistake to cause misunderstanding. The way he served us make us feel not so embarrassed and saved our anniversary celebration! He told just we still have time to enjoy ourselves ^^ I feel so good for his hospitality!!!!!  Experienced staff like Albert with kind heart and hospitality is what an excellent hotel should treasure and value! Thanks a lot for saving our celebration and my impression to Fullerton (not to misunderstand bez if my own mistake)"
Excellent customer service and just a beautiful grand hotel!,Date of stay: September 2022,50,"The Fullerton is a Grand hotel. The building is stunning, and in a great location. The bay view rooms are extraordinary and the customer service is excellent. In particular, Chandra was on top of every detail and made sure not only that we felt special, but well looked after while my husband and I were out and about. Thanks Chandra and the whole team."
A hotel that must visit in Singapore,Date of stay: October 2022,50,"We visited the hotel during weekdays. Very elegant hotel. Clean and comfortable room. Breakfast service was good and we had a nice dinner in the hotel restaurant, Jade. Hotel staff are all friendly especially Shazwan from front desk has been very polite and helpful. Definitely will visit the hotel again and recommend to my friends."
Perfect hotel,Date of stay: October 2022,50,"Very nice hotel, nice view, perfect hospitality, awesome staff especially senior duty manager mr andrew yip very helpfull nice person, for those people who wanted to stay this hotel, please find mr andrew, he will give perfect hospitality, and willing to fulfill your needs. Im sure will come again n stay here."
Very nice place,Date of stay: July 2022,50,"Everything was great at this hotel.. amazing staff that is friendly and makes customers feel welcome.The rooms were clean, very comfortable, They went over and beyond to help make our stay enjoyable. . amazing that is friendly and makes customers feel welcome. highly recommend this hotel for anyone visiting singapore"
Dr,Date of stay: October 2022,50,Excellent service by Aaron and Hafiz at the Concierge desk.  Aaron was very persistent in ensuring our flying tickets are in good order. He took hours to clarify issues.  And Hafiz took care of our local trips to various places.  We highly commend both for unbeatable service.  Thank you.
Incredible building and service…,Date of stay: October 2022,50,"…which made staying here such a treat for our first night in Singapore! The conversion job done here from governmental buildings to luxury hotel is incredible and it still all looks fantastic. The swimming pool has a wonderful view to make up for the limited space and all the members of staff were really helpful and friendly, especially the door staff. Even the choice of art work in our room and on our corridor was perfect! I wish we had stayed longer…"
Wow wow wow!,Date of stay: October 2022,50,"Greetings from KL!, I received nothing but top notch service to summarize my 3 nights at this magnificent building! It was also the best time to stay there as it coincided with the F1!...Not only was the building and rooms in great state of condition, the staff at all levels, from the lobby to the rooms were immaculate. A few staff stood out above the rest mainly Zain at the concierge, Victor at the lobby and Jurianah at the front desk! All in all it was a memorable stay for all of us. You are now assured of a loyal hotel guests."
Amazing experience at Fullerton hotel,Date of stay: August 2022,50,the room is so nice and the view outside the window is beautiful.And me and my friends spend some times at the pool over looking the view in the city its relaxing moment.we went to buffet for dinner and they have alot of delicious food to choose from.
