,TITLE,DATE,RATING,REVIEW
0,excellent customer service beautiful grand hotel,2022 - 09,5,fullerton grand hotel build stun great location bay view room extraordinary customer service excellent particular chandra top every detail make sure feel special well look husband thank chandra whole team
1,excellent service staff save misunderstand famous hotel bez stupid mistake,2022 - 08,5,simply fall love immediately enter famous fullerton building center city every corner full history staff nice helpful first surprise arrange special decoration inside room mention hotel restaurant afternoon tea celebrate anniversary tell room reservation two lovely bear hold balloon take home complimentary update room clean capacious comfy thank kate front desk staff help assist finish urgent document work print document hard copy guide postage back hong kong excellent service must thank albert courtyard lobby fullerton save misunderstand hotel write restaurant 2 mth prior arrival book famous afternoon tea anniversary celebration really extremely high expectation bez fan afternoon tea frustrate furious start eat tea taste sooooooo horrible unacceptable tolerate hubby see different set people give vegan set albert come assist let know accord record request sooooo puzzle shock really handle nicely give complete new afternoon tea set new coffee tea relieve emotion later search back email beginning tell reservation team interested plant base menu realise completely vegan set look menu two mth ago really highly appreciate albert professional handling guest customer make feel bad even eventfully find mistake cause misunderstand way serve make feel embarrassed save anniversary celebration tell still time enjoy feel good hospitality experienced staff like albert kind heart hospitality excellent hotel treasure value thank lot save celebration impression fullerton misunderstand bez mistake
2,hotel must visit singapore,2022 - 10,5,visit hotel weekday elegant hotel clean comfortable room breakfast service good nice dinner hotel restaurant jade hotel staff friendly especially shazwan front desk polite helpful definitely visit hotel recommend friend
3,perfect hotel,2022 - 10,5,nice hotel nice view perfect hospitality awesome staff especially senior duty manager mr andrew yip helpfull nice person people want stay hotel please find mr andrew give perfect hospitality willing fulfill need I sure come n stay
4,nice place,2022 - 07,5,everything great hotel amazing staff friendly make customer feel welcomethe room clean comfortable go beyond help make stay enjoyable amazing friendly make customer feel welcome highly recommend hotel anyone visit singapore
5,dr,2022 - 10,5,excellent service aaron hafiz concierge desk aaron persistent ensure fly ticket good order take hour clarify issue hafiz take care local trip various place highly commend unbeatable service thank
6,incredible building service,2022 - 10,5,make stay treat first night singapore conversion job governmental building luxury hotel incredible still look fantastic swimming pool wonderful view make limited space member staff really helpful friendly especially door staff even choice art work room corridor perfect wish stay long
7,wow wow wow,2022 - 10,5,greeting kl receive nothing top notch service summarize 3 night magnificent building also good time stay coincide f1 building room great state condition staff level lobby room immaculate staff stand rest mainly zain concierge victor lobby jurianah front desk memorable stay assure loyal hotel guest
8,amazing experience fullerton hotel,2022 - 08,5,room nice view outside window beautifuland friend spend time pool look view city relax momentwe go buffet dinner alot delicious food choose
9,memorable weekend family,2022 - 10,5,wonderful experience fullerton hotel amazing location room face marina bay balcony room clean comfortable staff helpful highly recommend hotel anyone visit downtown
