TITLE,DATE,RATING,REVIEW
Find something better.not worth the price,Date of stay: September 2022,10,"The hotel location is good, but rooms are small, maybe that's how it is in Singapore. But the hotel service is pathetic. They have just one luggage trolley which the guests have to pull to the room and bring back to the lobby.No service there. The room service is also slow and mostly do not understand basic courtesy especially if travelling with small kids. Further, the worst is the breakfast- the menu is 90percent non vegetarian and does not cater to international standards- for eg they wont serve an omelette, or wont give warm milk for small kids. No tea or coffee. The food preparation, even in case of non veg is pathetic. And breakfast is served in disposable plates. The worst part is, that they remove the buffet strictly at 10am and wont offer even a cup of coffee or bread strictly at 10.00am. Not only this, they switch off the lights at the cafe area even if guests are sitting and guests are told to wrap up in the next two minutes. We were traveling with small kids and it felt as if we were not on vacation but in a hostel mess. A very bad experience at the hotel"
Lousy. Not worth the price,Date of stay: August 2022,10,Very unprofessional. Bounced reservations later accepted. Room was dingy and shabby. Bathroom was like a public washroom with no toiletries. See pic for tea coffee tray. Surprised how come such hotels are allowed to operate in Singapore.
You can find better place,Date of stay: August 2022,30,"Basic, Budget, Tour Group Hotel,……..depend on your definition. Many facilities should be immediately renovated after Covid 19. If not, customer may not revisit.  We have party of 6 as booking 3 rooms. Only one and only good thing is location. Some issues have been ignored as there were few hotel staff returning to work such as housekeeper.  Since it is tour group hotel, - Wrong morning call at 6 30 am on 2nd day - Wrong door knocking at 10:30 pm on 2nd night - Wrong door knocking at 00.45 am on 3rd night  Can you imagine how I felt about this hotel?  For me, revisit will be not my expectation.  If you have limited budget and love Orchard area, please go ahead………  Staff at lobby are very ok….. friendly and helpful"
Good location,Date of stay: June 2022,30,"The hotel's location is very central on Orchid Road, close to bus stop and Malls. The hotel room was comfortable and being on the 8th floor had a panoramic view over the trees. I spent 2 nights there and the room was not serviced. Breakfast was included, however, polystyrene plates and plastic cutlery!! That was a shock. The breakfast was simple, not a great selection. This was post Covid-19. The WiFi in my room was not connecting, great fully, a technician was sent up and it was sorted out. I would stay there again due to the location."
The lowest of the low - avoid unless desperate,Date of stay: June 2022,20,"Extremely run down and low end hotel that is in desperate need of an upgrade. I'd liken it more to a hostel than a hotel. Hallways had mouldy ceilings, showers had only half curtains so water spilled all over the floor and the rooms were dark and lacking natural light. They had the audacity to charge for storing baggage, and the breakfast was one of the worst I've experienced. Plastic plates and cutlery, poorly prepared and low quality food - it felt like being at a soup kitchen. They cannot claim it's due to COVID as all other hotels in Singapore have resumed normal buffet breakfast with proper plates and cutlery.  Terrible!"
Nightmare Hotel - Worst Experience Ever,Date of stay: June 2022,10,"Full of guest garbage in the hallway, the housekeeping simply doesn't show up, once you asked for cleaning the room, they just give two new towels.  TV remote doesn't work, the fridge doesn't work. Got sick on the second day of stay. What a bad experience for 4-star price, avoid this hotel and just pay more to go somewhere else."
1/2 star service in a 4 Star Hotel,Date of stay: June 2022,10,"This is one of the worst ever so called 4 Star hotel that I have ever stayed in, I will give 1 to 2 stars the most. Check-in was slow and inaccurate. No room make up service provided and even after being reminded twice. No duty manager on site available to take care of guests grievances or complaints. Please down grade this hotel to 1 or 2 Star."
Best hotel in Singapore!,Date of stay: August 2021,40,"We have visited in August, 2019.  Small rooms but neat and tidy.  Depending on what you need as a traveler, if you want to just have a clean bed and relax 5-6 hours, this is the place.  Hotel Chancellor provides basic necessity.  I would really like to visit this place once again!"
1st world country but 3rd world WiFi internet provided,Date of stay: April 2021,10,"Room is small and a bit dusty I’m ok for it... But I ready can’t acceptable is very very poor WiFi provided, have to use my own Mobil data until over usage!!!! Hello I’m staying here is 14days is not 1 or 2 days. Feedback and highlight several time also no use until I disappoint."
Early Days of Pandemic,Date of stay: February 2020,30,"We visited Singapore in early February 2020, in the early days of pandemic. In the afternoon we arrived Singapore declared orange status which meant getting uncontrolled & difficult to trace.  The airport was pretty cautious, yet not many people wearing masks. Chancellor Hotel complied to the rules they should register each guests historical travel: date & number of flight, seat number, last departure city, etc. Very good indeed.  The hotel itself is quite old. I believe it was very famous in the 80s-90s, observing its facility and strategic location (very close to Plaza Singapura). However many modern hotels in the same league were established in Singapore. So I guess not many foreigners chose this hotel, except for tourists who usually arrive with chartered buses.  Anyway, the room was nice. The facility was working. Although as I said: almost all furnitures are quite old (bathroom, drawer, cabinet, door). But if you don’t mind all these, Chancellor is among the best in Orchard Road & very close to Dhoby Gout MRT station."
Average,Date of stay: May 2019,40,"Room was ok, it was clean. But the breakfast i think they need to improve on it. Not much choices and the variety of food is really not that appetizing. So i stayed for one night, then transfer to another hotel (to try too)."
A total let down,Date of stay: March 2020,10,"We had an event nearby the hotel the next day hence we booked 4 rooms via OTA. Upon check in, FO asked if I just made the bookings as he could not find my bookings. Told him to check under the specific names. Check in took over 45mins for 4 rooms.  - rang the One Service number to request for 2 pairs of bedroom slippers at 5pm. They NEVER arrived... The female operator on the other line sound uninterested and reolied that she will have to check with housekeeping (forever?)  - shower stall overflows and wet the toilet area during shower  - nothing was mentioned about the pool closure, be it on OTA websites or upon check in. Such a let down when we were supposee to be on staycation  - staff in general are the ""legends"" who may have been in the hotel for ages  - no BASIC items provided in the room: no coffee/tea satchet, no disposable toothbrush, bedroom slippers  To sum it off, NEVER stay in this hotel if you are looking for service or used to full serviced hotels."
WORST HOTEL,Date of stay: March 2020,10,"The only positive thing about this hotel was the location.  Room and cleanliness meets the basic needs. The service was nowhere higher than average. I noticed that the staff at the reception were not even proactive enough to help me store my luggage and insisted on me waiting for the bellman/security who was then talking to another guest. After lingering around for a few minutes, she was then willing to assist me.  The worst was the breakfast. I understand that it is the Covid-19 season and that hotels are cutting costs but their breakfast spread is just depressing. The worst was that there were birds at the breakfast area. As the breakfast area was beside a garden, there were sparrows flying and can you imagine what kind of contamination it can bring?  After the breakfast on the first night, I told the reception about this but birds were still flying around at the breakfast area. Pictures below for proof.  As a hotelier myself, I will never stay here ever again and would not recommend this hotel to anyone who wants a proper stay.  The management needs serious help."
It was alright,Date of stay: December 2019,50,"They said, every price selling cost measures its quality and services. Depending on what you need as a traveller, if you want to just have a clean bed and set aside 1 or 2 hours to chill by the swimming pool, this is the place. If you want to find a fancy place, then you have to match your budget with the proper needs you deserve. To me, Hotel Chancellor provides basic necessity. Don't set too high hopes if your budget is just mediocal. My stay was alright, but I think the frontliners need to smile more, and management has to work on the image dull-looking lobby. High ceiling is nice, just these two aspects and am sure will have more repeat happy guests."
Hotel in dire need of refurbishment,Date of stay: February 2020,20,"Stayed here because of price and location close to Orchard Road. Hotel lobby area is reflective of the property generally. Very outdated and in dire need of an upgrade. My room was clean but the bed was not comfortable, whilst the TV channels were simply appalling, with no decent international news channel. Rooms are also long-overdue for a refurbishment to bring them into the 21st century. Would not stay here again as it was such a poor experience.Only positive was good, free internet connection."
Worth It,Date of stay: February 2020,50,"Great location - close to train stations, bus stops within walking distance. Plenty of nearby malls. For not so expensive tasty meals Lucky Plaza is the go-to place  Friendly, efficient staff - housekeeping team was helpful. Checked in on our needs daily. Restaurant staff were very accommodating. Helped us to store ice cream since fridge inside the room wasn't meant for chilling  Room & Amenities - as expected of most Singapore hotels. Slightly smaller room but adequate space for 2 adults. Sunset at rooftop pool was quite enjoyable.  In summary, we had a pleasant stay. Felt what we paid justify the values we got in return"
