,TITLE,DATE,RATING,REVIEW
0,find something betternot worth price,2022 - 09,1,hotel location good room small maybe singapore hotel service pathetic one luggage trolley guest pull room bring back lobbyno service room service also slow mostly understand basic courtesy especially travel small kid bad breakfast menu 90percent non vegetarian cater international standard eg serve omelette give warm milk small kid tea coffee food preparation even case non veg pathetic breakfast serve disposable plate bad part remove buffet strictly 10 offer even cup coffee bread strictly 1000am switch light cafe area even guest sit guest tell wrap next two minute travel small kid feel vacation hostel mess bad experience hotel
1,lousy worth price,2022 - 08,1,unprofessional bounced reservation later accept room dingy shabby bathroom like public washroom toiletry see pic tea coffee tray surprise come hotel allow operate singapore
2,find well place,2022 - 08,3,basic budget tour group hoteldepend definition many facility immediately renovate covid 19 customer may revisit party 6 book 3 room one good thing location issue ignore hotel staff return work housekeeper since tour group hotel wrong morning call 6 30 2nd day wrong door knock 1030 pm 2nd night wrong door knock 0045 3rd night imagine feel hotel revisit expectation limit budget love orchard area please go ahead staff lobby ok friendly helpful
3,good location,2022 - 06,3,hotel location central orchid road close bus stop mall hotel room comfortable 8th floor panoramic view tree spend 2 night room service breakfast include however polystyrene plate plastic cutlery shock breakfast simple great selection post covid19 wifi room connect great fully technician send sort would stay due location
4,low low avoid unless desperate,2022 - 06,2,extremely run low end hotel desperate need upgrade would liken hostel hotel hallway mouldy ceiling shower half curtain water spill floor room dark lack natural light audacity charge store baggage breakfast one bad experience plastic plate cutlery poorly prepared low quality food feel like soup kitchen claim due covid hotel singapore resume normal buffet breakfast proper plate cutlery terrible
5,nightmare hotel bad experience ever,2022 - 06,1,full guest garbage hallway housekeeping simply show ask cleaning room give two new towel tv remote work fridge work get sick second day stay bad experience 4star price avoid hotel pay go somewhere else
6,12 star service 4 star hotel,2022 - 06,1,one bad ever call 4 star hotel ever stay give 1 2 star checkin slow inaccurate room make service provide even remind twice duty manager site available take care guest grievance complaint please grade hotel 1 2 star
7,good hotel singapore,2021 - 08,4,visit august 2019 small room neat tidy depend need traveler want clean bed relax 56 hour place hotel chancellor provide basic necessity would really like visit place
8,1st world country 3rd world wifi internet provide,2021 - 04,1,room small bit dusty I ok ready acceptable poor wifi provide use mobil datum usage hello I stay 14days 1 2 day feedback highlight several time also use disappoint
9,early day pandemic,2020 - 02,3,visit singapore early february 2020 early day pandemic afternoon arrive singapore declare orange status mean get uncontrolled difficult trace airport pretty cautious yet many people wear mask chancellor hotel comply rule register guest historical travel date number flight seat number last departure city etc good indeed hotel quite old believe famous 80s90s observe facility strategic location close plaza singapura however many modern hotel league establish singapore guess many foreigner choose hotel except tourist usually arrive charter bus anyway room nice facility work although say almost furniture quite old bathroom drawer cabinet door mind chancellor among good orchard road close dhoby gout mrt station
